time,NINO1+2_sst,NINO3_sst,NINO3.4_sst,NINO4_sst,EPAC_mslp,INDO_mslp
1981-09-01,20.1287,24.54618,26.345293,28.26938,101260.77,100994.875
1981-10-01,20.245596,24.806093,26.466253,28.380522,101226.086,101016.664
1981-11-01,21.255264,24.51976,26.075563,28.24386,101207.78,100941.75
1981-12-01,22.835764,25.00215,26.184101,28.123152,101129.32,101049.03
1982-01-01,24.207018,25.77992,26.583525,27.963215,101156.08,101020.92
1982-02-01,25.260267,26.211033,26.45504,27.92616,101062.984,101006.125
1982-03-01,25.015762,26.870028,27.034319,28.148813,100984.26,100997.96
1982-04-01,24.321468,27.469593,27.782715,28.594093,101071.01,101019.31
1982-05-01,23.8483,27.648277,28.32491,29.160978,101069.09,100990.88
1982-06-01,22.864058,27.055376,28.318104,29.454027,101083.41,101067.36
1982-07-01,22.10188,26.045755,27.516773,28.746273,101106.016,101047.6
1982-08-01,21.77356,25.964773,27.732328,28.691679,101140.46,101100.6
1982-09-01,21.986738,26.460003,27.98785,28.936277,101182.086,101175.234
1982-10-01,22.783976,27.035511,28.516157,29.119644,101114.01,101098.914
1982-11-01,24.55581,27.392683,28.520462,28.828144,100952.34,101034.77
1982-12-01,25.830717,28.07644,28.873524,28.802328,100926.1,101049.58
1983-01-01,26.90215,28.392508,28.718637,28.638617,100846.75,101179.21
1983-02-01,27.660173,28.405582,28.558792,28.53487,100906.44,101211.42
1983-03-01,28.374086,28.487396,28.477703,28.623198,100926.3,101170.36
1983-04-01,28.163368,28.783194,28.506384,28.50123,100909.1,101024.16
1983-05-01,27.93956,28.639488,28.552773,28.969189,100916.555,101013.68
1983-06-01,27.264368,28.06472,28.123856,28.78632,101031.01,101017.984
1983-07-01,25.75917,26.421608,26.85689,28.455982,101059.516,101008.48
1983-08-01,23.721737,25.648405,26.345356,28.174604,101246.914,101059.9
1983-09-01,22.168648,25.086966,26.26738,28.011595,101225.375,101035.04
1983-10-01,22.035843,24.40417,25.616476,27.588755,101232.19,100982.266
1983-11-01,22.036154,23.983046,25.378511,27.59393,101254.88,101078.14
1983-12-01,22.985764,24.230413,25.349157,27.391937,101248.48,101033.055
1984-01-01,24.244453,24.656897,25.4886,27.332634,101198.29,100934.58
1984-02-01,25.113401,26.370722,26.510902,27.167793,101006.27,100854.48
1984-03-01,25.5579,26.835938,26.638172,27.22849,101042.59,100997.9
1984-04-01,25.08401,27.24279,27.227732,27.480364,101062.42,100932.97
1984-05-01,23.248596,26.280891,27.125025,27.895895,101098.16,100923.52
1984-06-01,22.135496,25.21846,26.57954,28.012707,101188.53,100940.69
1984-07-01,21.158436,24.916643,26.535576,28.328419,101219.71,100935.0
1984-08-01,20.316835,24.533379,26.290085,28.015942,101271.51,100972.88
1984-09-01,20.28842,24.608173,26.273235,28.180037,101271.266,101023.36
1984-10-01,20.530277,24.059446,25.92423,27.963223,101244.52,101059.83
1984-11-01,21.448456,24.024363,25.383427,27.860788,101284.91,100995.125
1984-12-01,22.561958,23.754156,25.040703,27.38623,101030.836,100850.945
1985-01-01,23.480783,24.15895,25.162136,27.349285,101218.2,101016.87
1985-02-01,24.65427,25.15555,25.726883,27.476864,101026.984,100735.79
1985-03-01,25.510275,26.148056,26.272211,27.163937,101010.79,100967.05
1985-04-01,24.067741,26.574564,26.629194,27.355688,101041.69,100839.86
1985-05-01,22.531902,25.892687,26.732206,27.638386,101094.734,100829.914
1985-06-01,21.785059,25.346579,26.559,27.833172,101151.234,100978.29
1985-07-01,20.519745,24.616352,26.43971,28.007399,101261.83,101041.914
1985-08-01,19.63271,24.11157,26.200602,28.057816,101285.625,101001.93
1985-09-01,19.32929,23.919731,25.90171,28.02418,101253.7,101017.016
1985-10-01,19.8757,24.000038,25.948742,28.063065,101212.92,101034.84
1985-11-01,20.89146,24.18814,26.175632,28.264908,101226.05,100982.8
1985-12-01,22.338678,24.2936,25.988195,28.075201,101263.04,100985.79
1986-01-01,24.464617,24.707163,25.767262,27.647572,101142.65,100921.93
1986-02-01,25.814968,25.729519,25.857658,27.67229,101153.59,101047.64
1986-03-01,25.748503,26.712513,26.568628,27.883648,101065.74,100951.75
1986-04-01,24.590567,27.007498,27.236773,27.766726,100988.97,100953.0
1986-05-01,23.186266,26.358183,27.260157,28.320633,101087.016,100987.62
1986-06-01,22.109488,26.08668,27.330805,28.598536,101137.47,100897.75
1986-07-01,21.310356,25.717323,27.216106,28.488735,101240.914,101049.945
1986-08-01,20.833899,25.0259,27.056667,28.678898,101182.01,100954.93
1986-09-01,20.578316,25.228474,27.126226,28.835766,101226.86,101075.82
1986-10-01,21.12554,25.373066,27.243227,28.913929,101329.73,101113.34
1986-11-01,21.713648,25.689508,27.313992,28.971199,101067.61,101038.484
1986-12-01,23.015272,25.796793,27.434446,28.638699,101144.664,101095.305
1987-01-01,25.080559,26.435856,27.482958,28.481731,101038.46,101081.07
1987-02-01,26.76486,27.13833,27.520016,28.419094,100927.38,101178.1
1987-03-01,27.511772,27.952631,28.103453,28.706467,100995.93,101109.27
1987-04-01,26.546354,28.14132,28.23902,28.779934,100976.84,101081.68
1987-05-01,25.32801,27.80828,28.18028,28.860191,101017.49,101068.34
1987-06-01,23.803549,27.116634,28.42984,29.205967,101083.96,101011.84
1987-07-01,22.555922,26.81938,28.328272,29.104235,101078.56,101118.81
1987-08-01,21.626276,26.198853,28.073002,29.047949,101131.36,101079.95
1987-09-01,21.402754,26.328598,28.044813,29.01435,101204.0,101118.62
1987-10-01,22.288143,25.882961,27.68347,29.323298,101187.87,101073.695
1987-11-01,22.619665,25.846527,27.604898,29.281055,101141.32,100995.234
1987-12-01,23.299932,26.11467,27.342646,28.940844,101086.984,101055.234
1988-01-01,24.28421,26.12924,27.171257,28.706982,101106.13,100968.29
1988-02-01,25.56727,26.275724,26.883091,28.362906,100993.164,100996.19
1988-03-01,25.508007,27.005884,27.222605,28.095602,101055.336,100877.59
1988-04-01,24.38543,26.697317,27.174715,27.839575,101114.83,100983.695
1988-05-01,23.267803,25.349852,26.40947,28.017809,101150.836,100923.18
1988-06-01,21.486792,24.297705,25.879934,27.824665,101307.44,101005.445
1988-07-01,20.225517,23.633186,25.452179,27.725687,101343.125,100987.29
1988-08-01,19.29414,23.48985,25.368246,27.643703,101345.08,101003.766
1988-09-01,19.145075,23.970436,25.754126,27.867834,101332.41,100918.14
